ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLL
7.631,8.17,7.106,4.909,13.016,-9.838,0.0004
11.813,8.17,7.106,4.909,13.016,-9.838,0.0026
-14.464,-9.04,11.02,-6.519,-7.344,10.893,0.0022
-11.56,-9.04,11.02,-6.519,-7.344,10.893,0.0018
-10.346,-9.04,11.02,-6.519,-7.344,10.893,0.0019
-8.434,-9.04,11.02,-6.519,-7.344,10.893,0.001
-7.746,-9.04,11.02,-6.519,-7.344,10.893,0.0005
-4.661,-9.04,11.02,-6.519,-7.344,10.893,-0.0021
-1.476,-9.04,11.02,-6.519,-7.344,10.893,-0.0046
-0.476,-9.04,11.02,-6.519,-7.344,10.893,-0.0047
-0.315,-9.04,11.02,-6.519,-7.344,10.893,-0.0048
0.416,-9.04,11.02,-6.519,-7.344,10.893,-0.0047
2.106,-9.04,11.02,-6.519,-7.344,10.893,-0.0044
5.051,-9.04,11.02,-6.519,-7.344,10.893,-0.004
8.262,-9.04,11.02,-6.519,-7.344,10.893,-0.0019
8.557,-9.04,11.02,-6.519,-7.344,10.893,-0.0017
-10.457,0.22,18.768,-0.143,-0.124,16.002,0.0031
-9.347,0.22,18.768,-0.143,-0.124,16.002,0.0047
-7.976,0.22,18.768,-0.143,-0.124,16.002,0.0047
-4.655,0.22,18.768,-0.143,-0.124,16.002,0.0025
0.194,0.22,18.768,-0.143,-0.124,16.002,-0.0084
0.458,0.22,18.768,-0.143,-0.124,16.002,-0.0065
1.222,0.22,18.768,-0.143,-0.124,16.002,-0.0031
3.651,0.22,18.768,-0.143,-0.124,16.002,0.0029
4.569,0.22,18.768,-0.143,-0.124,16.002,0.0033
4.803,0.22,18.768,-0.143,-0.124,16.002,0.0034
5.488,0.22,18.768,-0.143,-0.124,16.002,0.0037
5.695,0.22,18.768,-0.143,-0.124,16.002,0.0037
9.909,0.22,18.768,-0.143,-0.124,16.002,0.0043
9.969,0.22,18.768,-0.143,-0.124,16.002,0.0042
-14.92,1.11,-5.672,-0.201,-16.505,-14.913,-0.0055
-11.99,1.11,-5.672,-0.201,-16.505,-14.913,-0.0045
-10.69,1.11,-5.672,-0.201,-16.505,-14.913,0.0003
-10.19,1.11,-5.672,-0.201,-16.505,-14.913,0.0022
-9.44,1.11,-5.672,-0.201,-16.505,-14.913,0.0056
