ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CY
11.813,8.17,7.106,4.909,13.016,-9.838,-0.8526
-14.464,-9.04,11.02,-6.519,-7.344,10.893,0.8601
-11.56,-9.04,11.02,-6.519,-7.344,10.893,0.9214
-10.346,-9.04,11.02,-6.519,-7.344,10.893,0.9547
-8.434,-9.04,11.02,-6.519,-7.344,10.893,0.9848
-7.746,-9.04,11.02,-6.519,-7.344,10.893,0.9919
-4.661,-9.04,11.02,-6.519,-7.344,10.893,0.9896
-1.476,-9.04,11.02,-6.519,-7.344,10.893,0.9587
-0.476,-9.04,11.02,-6.519,-7.344,10.893,0.9569
-0.315,-9.04,11.02,-6.519,-7.344,10.893,0.9569
0.416,-9.04,11.02,-6.519,-7.344,10.893,0.957
2.106,-9.04,11.02,-6.519,-7.344,10.893,0.9557
5.051,-9.04,11.02,-6.519,-7.344,10.893,0.9461
8.262,-9.04,11.02,-6.519,-7.344,10.893,0.9525
8.557,-9.04,11.02,-6.519,-7.344,10.893,0.952
-10.457,0.22,18.768,-0.143,-0.124,16.002,-0.1099
-9.347,0.22,18.768,-0.143,-0.124,16.002,-0.0743
-7.976,0.22,18.768,-0.143,-0.124,16.002,-0.064
-4.655,0.22,18.768,-0.143,-0.124,16.002,-0.064
0.194,0.22,18.768,-0.143,-0.124,16.002,-0.1617
0.458,0.22,18.768,-0.143,-0.124,16.002,-0.1493
1.222,0.22,18.768,-0.143,-0.124,16.002,-0.1276
3.651,0.22,18.768,-0.143,-0.124,16.002,-0.0628
4.569,0.22,18.768,-0.143,-0.124,16.002,-0.0674
4.803,0.22,18.768,-0.143,-0.124,16.002,-0.0697
5.488,0.22,18.768,-0.143,-0.124,16.002,-0.0767
5.695,0.22,18.768,-0.143,-0.124,16.002,-0.0786
9.909,0.22,18.768,-0.143,-0.124,16.002,-0.0813
9.969,0.22,18.768,-0.143,-0.124,16.002,-0.083
-14.92,1.11,-5.672,-0.201,-16.505,-14.913,-0.3524
-11.99,1.11,-5.672,-0.201,-16.505,-14.913,-0.3779
-10.69,1.11,-5.672,-0.201,-16.505,-14.913,-0.316
-10.19,1.11,-5.672,-0.201,-16.505,-14.913,-0.2929
-9.44,1.11,-5.672,-0.201,-16.505,-14.913,-0.2483
-4.08,1.11,-5.672,-0.201,-16.505,-14.913,-0.2376
-3.61,1.11,-5.672,-0.201,-16.505,-14.913,-0.2434
-2.87,1.11,-5.672,-0.201,-16.505,-14.913,-0.2568
-2.81,1.11,-5.672,-0.201,-16.505,-14.913,-0.258
6.67,1.11,-5.672,-0.201,-16.505,-14.913,-0.2152
9.99,1.11,-5.672,-0.201,-16.505,-14.913,-0.2294
11.43,1.11,-5.672,-0.201,-16.505,-14.913,-0.2817
12.69,1.11,-5.672,-0.201,-16.505,-14.913,-0.3277
12.7,1.11,-5.672,-0.201,-16.505,-14.913,-0.3281
-5.731,-5.73,4.443,-11.809,-2.109,-8.451,0.5243
-5.362,-5.73,4.443,-11.809,-2.109,-8.451,0.528
-5.216,-5.73,4.443,-11.809,-2.109,-8.451,0.5293
-5.142,-5.73,4.443,-11.809,-2.109,-8.451,0.5299
-4.776,-5.73,4.443,-11.809,-2.109,-8.451,0.5328
-3.67,-5.73,4.443,-11.809,-2.109,-8.451,0.5414
-2.939,-5.73,4.443,-11.809,-2.109,-8.451,0.5474
-2.316,-5.73,4.443,-11.809,-2.109,-8.451,0.5528
