ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CA
-14.464,-9.04,11.02,-6.519,-7.344,10.893,0.1151
-11.56,-9.04,11.02,-6.519,-7.344,10.893,0.142
-10.346,-9.04,11.02,-6.519,-7.344,10.893,0.1502
-8.434,-9.04,11.02,-6.519,-7.344,10.893,0.1601
-7.746,-9.04,11.02,-6.519,-7.344,10.893,0.1626
-4.661,-9.04,11.02,-6.519,-7.344,10.893,0.1673
-1.476,-9.04,11.02,-6.519,-7.344,10.893,0.1638
-0.476,-9.04,11.02,-6.519,-7.344,10.893,0.1612
-0.315,-9.04,11.02,-6.519,-7.344,10.893,0.1608
0.416,-9.04,11.02,-6.519,-7.344,10.893,0.1584
2.106,-9.04,11.02,-6.519,-7.344,10.893,0.152
5.051,-9.04,11.02,-6.519,-7.344,10.893,0.1377
8.262,-9.04,11.02,-6.519,-7.344,10.893,0.117
8.557,-9.04,11.02,-6.519,-7.344,10.893,0.1148
-10.457,0.22,18.768,-0.143,-0.124,16.002,0.2175
-9.347,0.22,18.768,-0.143,-0.124,16.002,0.2242
-7.976,0.22,18.768,-0.143,-0.124,16.002,0.2306
-4.655,0.22,18.768,-0.143,-0.124,16.002,0.2375
0.194,0.22,18.768,-0.143,-0.124,16.002,0.2286
0.458,0.22,18.768,-0.143,-0.124,16.002,0.2278
1.222,0.22,18.768,-0.143,-0.124,16.002,0.2253
3.651,0.22,18.768,-0.143,-0.124,16.002,0.216
4.569,0.22,18.768,-0.143,-0.124,16.002,0.2119
4.803,0.22,18.768,-0.143,-0.124,16.002,0.2108
5.488,0.22,18.768,-0.143,-0.124,16.002,0.2074
5.695,0.22,18.768,-0.143,-0.124,16.002,0.2063
9.909,0.22,18.768,-0.143,-0.124,16.002,0.1784
9.969,0.22,18.768,-0.143,-0.124,16.002,0.1779
-14.92,1.11,-5.672,-0.201,-16.505,-14.913,0.1152
-11.99,1.11,-5.672,-0.201,-16.505,-14.913,0.1508
-10.69,1.11,-5.672,-0.201,-16.505,-14.913,0.1636
-10.19,1.11,-5.672,-0.201,-16.505,-14.913,0.1681
-9.44,1.11,-5.672,-0.201,-16.505,-14.913,0.1742
-4.08,1.11,-5.672,-0.201,-16.505,-14.913,0.2049
-3.61,1.11,-5.672,-0.201,-16.505,-14.913,0.2068
-2.87,1.11,-5.672,-0.201,-16.505,-14.913,0.2097
-2.81,1.11,-5.672,-0.201,-16.505,-14.913,0.2099
6.67,1.11,-5.672,-0.201,-16.505,-14.913,0.2251
9.99,1.11,-5.672,-0.201,-16.505,-14.913,0.211
11.43,1.11,-5.672,-0.201,-16.505,-14.913,0.2012
12.69,1.11,-5.672,-0.201,-16.505,-14.913,0.1907
12.7,1.11,-5.672,-0.201,-16.505,-14.913,0.1906
-5.731,-5.73,4.443,-11.809,-2.109,-8.451,0.1757
-5.362,-5.73,4.443,-11.809,-2.109,-8.451,0.1767
-5.216,-5.73,4.443,-11.809,-2.109,-8.451,0.1771
-5.142,-5.73,4.443,-11.809,-2.109,-8.451,0.1772
-4.776,-5.73,4.443,-11.809,-2.109,-8.451,0.1781
-3.67,-5.73,4.443,-11.809,-2.109,-8.451,0.1799
-2.939,-5.73,4.443,-11.809,-2.109,-8.451,0.1808
-2.316,-5.73,4.443,-11.809,-2.109,-8.451,0.1812
-1.145,-5.73,4.443,-11.809,-2.109,-8.451,0.1815
2.27,-5.73,4.443,-11.809,-2.109,-8.451,0.1786
4.278,-5.73,4.443,-11.809,-2.109,-8.451,0.1741
6.814,-5.73,4.443,-11.809,-2.109,-8.451,0.1654
7.173,-5.73,4.443,-11.809,-2.109,-8.451,0.1638
8.888,-5.73,4.443,-11.809,-2.109,-8.451,0.1548
-11.229,13.37,-10.582,-9.232,7.026,-12.613,0.0729
-11.134,13.37,-10.582,-9.232,7.026,-12.613,0.0738
-8.777,13.37,-10.582,-9.232,7.026,-12.613,0.0938
-8.113,13.37,-10.582,-9.232,7.026,-12.613,0.0984
-6.783,13.37,-10.582,-9.232,7.026,-12.613,0.1067
-5.662,13.37,-10.582,-9.232,7.026,-12.613,0.1124
-2.638,13.37,-10.582,-9.232,7.026,-12.613,0.1205
-1.666,13.37,-10.582,-9.232,7.026,-12.613,0.1215
0.644,13.37,-10.582,-9.232,7.026,-12.613,0.1212
3.581,13.37,-10.582,-9.232,7.026,-12.613,0.1157
4.786,13.37,-10.582,-9.232,7.026,-12.613,0.1118
6.331,13.37,-10.582,-9.232,7.026,-12.613,0.1066
9.37,13.37,-10.582,-9.232,7.026,-12.613,0.0905
10.762,13.37,-10.582,-9.232,7.026,-12.613,0.0797
-13.462,-6.25,16.286,-17.615,5.102,0.859,0.1733
-13.037,-6.25,16.286,-17.615,5.102,0.859,0.1774
-12.795,-6.25,16.286,-17.615,5.102,0.859,0.1796
-11.357,-6.25,16.286,-17.615,5.102,0.859,0.1918
-3.168,-6.25,16.286,-17.615,5.102,0.859,0.226
-3.058,-6.25,16.286,-17.615,5.102,0.859,0.2261
-2.02,-6.25,16.286,-17.615,5.102,0.859,0.2264
-0.226,-6.25,16.286,-17.615,5.102,0.859,0.224
0.667,-6.25,16.286,-17.615,5.102,0.859,0.2216
1.356,-6.25,16.286,-17.615,5.102,0.859,0.2195
1.707,-6.25,16.286,-17.615,5.102,0.859,0.2183
