ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CN
7.631,8.17,7.106,4.909,13.016,-9.838,1.0159
11.813,8.17,7.106,4.909,13.016,-9.838,1.6116
-14.464,-9.04,11.02,-6.519,-7.344,10.893,-2.0386
-11.56,-9.04,11.02,-6.519,-7.344,10.893,-1.593
-10.346,-9.04,11.02,-6.519,-7.344,10.893,-1.4141
-8.434,-9.04,11.02,-6.519,-7.344,10.893,-1.1458
-7.746,-9.04,11.02,-6.519,-7.344,10.893,-1.0534
-4.661,-9.04,11.02,-6.519,-7.344,10.893,-0.652
-1.476,-9.04,11.02,-6.519,-7.344,10.893,-0.2939
-0.476,-9.04,11.02,-6.519,-7.344,10.893,-0.1939
-0.315,-9.04,11.02,-6.519,-7.344,10.893,-0.1779
0.416,-9.04,11.02,-6.519,-7.344,10.893,-0.1051
2.106,-9.04,11.02,-6.519,-7.344,10.893,0.0668
5.051,-9.04,11.02,-6.519,-7.344,10.893,0.4106
8.262,-9.04,11.02,-6.519,-7.344,10.893,0.8344
8.557,-9.04,11.02,-6.519,-7.344,10.893,0.8755
-10.457,0.22,18.768,-0.143,-0.124,16.002,-1.4322
-9.347,0.22,18.768,-0.143,-0.124,16.002,-1.2752
-7.976,0.22,18.768,-0.143,-0.124,16.002,-1.0825
-4.655,0.22,18.768,-0.143,-0.124,16.002,-0.6402
0.194,0.22,18.768,-0.143,-0.124,16.002,-0.1271
0.458,0.22,18.768,-0.143,-0.124,16.002,-0.0954
1.222,0.22,18.768,-0.143,-0.124,16.002,-0.0138
3.651,0.22,18.768,-0.143,-0.124,16.002,0.2676
4.569,0.22,18.768,-0.143,-0.124,16.002,0.382
4.803,0.22,18.768,-0.143,-0.124,16.002,0.4128
5.488,0.22,18.768,-0.143,-0.124,16.002,0.5056
5.695,0.22,18.768,-0.143,-0.124,16.002,0.533
9.909,0.22,18.768,-0.143,-0.124,16.002,1.1315
9.969,0.22,18.768,-0.143,-0.124,16.002,1.1404
-14.92,1.11,-5.672,-0.201,-16.505,-14.913,-1.9447
-11.99,1.11,-5.672,-0.201,-16.505,-14.913,-1.4668
-10.69,1.11,-5.672,-0.201,-16.505,-14.913,-1.2669
-10.19,1.11,-5.672,-0.201,-16.505,-14.913,-1.1915
-9.44,1.11,-5.672,-0.201,-16.505,-14.913,-1.0799
-4.08,1.11,-5.672,-0.201,-16.505,-14.913,-0.3878
-3.61,1.11,-5.672,-0.201,-16.505,-14.913,-0.3079
-2.87,1.11,-5.672,-0.201,-16.505,-14.913,-0.2053
-2.81,1.11,-5.672,-0.201,-16.505,-14.913,-0.1977
6.67,1.11,-5.672,-0.201,-16.505,-14.913,0.875
9.99,1.11,-5.672,-0.201,-16.505,-14.913,1.3552
11.43,1.11,-5.672,-0.201,-16.505,-14.913,1.5651
