ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLN
7.631,8.17,7.106,4.909,13.016,-9.838,0.0713
11.813,8.17,7.106,4.909,13.016,-9.838,0.0488
-14.464,-9.04,11.02,-6.519,-7.344,10.893,-0.1056
-11.56,-9.04,11.02,-6.519,-7.344,10.893,-0.126
-10.346,-9.04,11.02,-6.519,-7.344,10.893,-0.1359
-8.434,-9.04,11.02,-6.519,-7.344,10.893,-0.1452
-7.746,-9.04,11.02,-6.519,-7.344,10.893,-0.1477
-4.661,-9.04,11.02,-6.519,-7.344,10.893,-0.1499
-1.476,-9.04,11.02,-6.519,-7.344,10.893,-0.1431
-0.476,-9.04,11.02,-6.519,-7.344,10.893,-0.1429
-0.315,-9.04,11.02,-6.519,-7.344,10.893,-0.1429
0.416,-9.04,11.02,-6.519,-7.344,10.893,-0.1429
2.106,-9.04,11.02,-6.519,-7.344,10.893,-0.1416
5.051,-9.04,11.02,-6.519,-7.344,10.893,-0.1354
8.262,-9.04,11.02,-6.519,-7.344,10.893,-0.134
8.557,-9.04,11.02,-6.519,-7.344,10.893,-0.1337
-10.457,0.22,18.768,-0.143,-0.124,16.002,-0.087
-9.347,0.22,18.768,-0.143,-0.124,16.002,-0.0977
-7.976,0.22,18.768,-0.143,-0.124,16.002,-0.1006
-4.655,0.22,18.768,-0.143,-0.124,16.002,-0.0994
0.194,0.22,18.768,-0.143,-0.124,16.002,-0.0678
0.458,0.22,18.768,-0.143,-0.124,16.002,-0.0717
1.222,0.22,18.768,-0.143,-0.124,16.002,-0.0784
3.651,0.22,18.768,-0.143,-0.124,16.002,-0.0988
4.569,0.22,18.768,-0.143,-0.124,16.002,-0.0976
4.803,0.22,18.768,-0.143,-0.124,16.002,-0.0969
5.488,0.22,18.768,-0.143,-0.124,16.002,-0.0949
5.695,0.22,18.768,-0.143,-0.124,16.002,-0.0944
9.909,0.22,18.768,-0.143,-0.124,16.002,-0.0945
9.969,0.22,18.768,-0.143,-0.124,16.002,-0.0939
-14.92,1.11,-5.672,-0.201,-16.505,-14.913,0.0104
-11.99,1.11,-5.672,-0.201,-16.505,-14.913,0.017
-10.69,1.11,-5.672,-0.201,-16.505,-14.913,-0.0026
-10.19,1.11,-5.672,-0.201,-16.505,-14.913,-0.0098
-9.44,1.11,-5.672,-0.201,-16.505,-14.913,-0.0236
-4.08,1.11,-5.672,-0.201,-16.505,-14.913,-0.0248
-3.61,1.11,-5.672,-0.201,-16.505,-14.913,-0.0228
-2.87,1.11,-5.672,-0.201,-16.505,-14.913,-0.0183
-2.81,1.11,-5.672,-0.201,-16.505,-14.913,-0.0179
6.67,1.11,-5.672,-0.201,-16.505,-14.913,-0.0342
9.99,1.11,-5.672,-0.201,-16.505,-14.913,-0.0308
11.43,1.11,-5.672,-0.201,-16.505,-14.913,-0.0146
12.69,1.11,-5.672,-0.201,-16.505,-14.913,-0.0001
12.7,1.11,-5.672,-0.201,-16.505,-14.913,0.0001
-5.731,-5.73,4.443,-11.809,-2.109,-8.451,-0.0324
-5.362,-5.73,4.443,-11.809,-2.109,-8.451,-0.034
-5.216,-5.73,4.443,-11.809,-2.109,-8.451,-0.0347
-5.142,-5.73,4.443,-11.809,-2.109,-8.451,-0.035
-4.776,-5.73,4.443,-11.809,-2.109,-8.451,-0.0365
-3.67,-5.73,4.443,-11.809,-2.109,-8.451,-0.041
-2.939,-5.73,4.443,-11.809,-2.109,-8.451,-0.0439
-2.316,-5.73,4.443,-11.809,-2.109,-8.451,-0.0463
-1.145,-5.73,4.443,-11.809,-2.109,-8.451,-0.0501
2.27,-5.73,4.443,-11.809,-2.109,-8.451,-0.0515
4.278,-5.73,4.443,-11.809,-2.109,-8.451,-0.0472
6.814,-5.73,4.443,-11.809,-2.109,-8.451,-0.0408
7.173,-5.73,4.443,-11.809,-2.109,-8.451,-0.0398
8.888,-5.73,4.443,-11.809,-2.109,-8.451,-0.0343
-11.229,13.37,-10.582,-9.232,7.026,-12.613,0.2122
-11.134,13.37,-10.582,-9.232,7.026,-12.613,0.213
-8.777,13.37,-10.582,-9.232,7.026,-12.613,0.2313
-8.113,13.37,-10.582,-9.232,7.026,-12.613,0.2363
-6.783,13.37,-10.582,-9.232,7.026,-12.613,0.2465
-5.662,13.37,-10.582,-9.232,7.026,-12.613,0.2554
-2.638,13.37,-10.582,-9.232,7.026,-12.613,0.279
-1.666,13.37,-10.582,-9.232,7.026,-12.613,0.2807
