ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLN
9.467,-12.13,11.347,15.802,-14.101,12.127,-0.2134
9.915,-12.13,11.347,15.802,-14.101,12.127,-0.2102
13.072,-12.13,11.347,15.802,-14.101,12.127,-0.1891
-14.726,8.37,-12.996,19.792,19.435,-15.437,0.0999
-14.17,8.37,-12.996,19.792,19.435,-15.437,0.1012
-11.174,8.37,-12.996,19.792,19.435,-15.437,0.146
-4.918,8.37,-12.996,19.792,19.435,-15.437,0.1919
-2.264,8.37,-12.996,19.792,19.435,-15.437,0.1947
-2.22,8.37,-12.996,19.792,19.435,-15.437,0.1947
0.517,8.37,-12.996,19.792,19.435,-15.437,0.1954
4.522,8.37,-12.996,19.792,19.435,-15.437,0.1919
5.359,8.37,-12.996,19.792,19.435,-15.437,0.1865
7.426,8.37,-12.996,19.792,19.435,-15.437,0.1677
9.462,8.37,-12.996,19.792,19.435,-15.437,0.1491
11.432,8.37,-12.996,19.792,19.435,-15.437,0.134
11.978,8.37,-12.996,19.792,19.435,-15.437,0.1316
12.096,8.37,-12.996,19.792,19.435,-15.437,0.1313
-11.855,6.64,0.826,-19.082,2.839,-4.227,0.0371
-11.245,6.64,0.826,-19.082,2.839,-4.227,0.04
-10.199,6.64,0.826,-19.082,2.839,-4.227,0.0456
-9.343,6.64,0.826,-19.082,2.839,-4.227,0.049
-9.034,6.64,0.826,-19.082,2.839,-4.227,0.0498
-4.933,6.64,0.826,-19.082,2.839,-4.227,0.0548
-4.559,6.64,0.826,-19.082,2.839,-4.227,0.0564
-2.637,6.64,0.826,-19.082,2.839,-4.227,0.0628
-0.333,6.64,0.826,-19.082,2.839,-4.227,0.0645
2.698,6.64,0.826,-19.082,2.839,-4.227,0.0637
7.978,6.64,0.826,-19.082,2.839,-4.227,0.0575
9.31,6.64,0.826,-19.082,2.839,-4.227,0.06
12.211,6.64,0.826,-19.082,2.839,-4.227,0.0575
12.54,6.64,0.826,-19.082,2.839,-4.227,0.0578
-14.456,-8.26,14.237,-19.006,-17.726,7.581,-0.1137
-12.17,-8.26,14.237,-19.006,-17.726,7.581,-0.1167
-11.567,-8.26,14.237,-19.006,-17.726,7.581,-0.1223
-9.387,-8.26,14.237,-19.006,-17.726,7.581,-0.1488
-7.948,-8.26,14.237,-19.006,-17.726,7.581,-0.1646
-3.904,-8.26,14.237,-19.006,-17.726,7.581,-0.179
-0.89,-8.26,14.237,-19.006,-17.726,7.581,-0.1875
1.021,-8.26,14.237,-19.006,-17.726,7.581,-0.1839
1.317,-8.26,14.237,-19.006,-17.726,7.581,-0.1827
6.014,-8.26,14.237,-19.006,-17.726,7.581,-0.1586
6.151,-8.26,14.237,-19.006,-17.726,7.581,-0.1579
7.058,-8.26,14.237,-19.006,-17.726,7.581,-0.1529
7.235,-8.26,14.237,-19.006,-17.726,7.581,-0.152
10.279,-8.26,14.237,-19.006,-17.726,7.581,-0.1316
-12.942,11.45,-4.195,-3.264,0.745,-19.01,0.1344
-11.773,11.45,-4.195,-3.264,0.745,-19.01,0.1457
-7.48,11.45,-4.195,-3.264,0.745,-19.01,0.209
-5.858,11.45,-4.195,-3.264,0.745,-19.01,0.2031
-0.497,11.45,-4.195,-3.264,0.745,-19.01,0.1762
3.024,11.45,-4.195,-3.264,0.745,-19.01,0.1733
3.257,11.45,-4.195,-3.264,0.745,-19.01,0.1732
6.824,11.45,-4.195,-3.264,0.745,-19.01,0.1771
6.911,11.45,-4.195,-3.264,0.745,-19.01,0.1774
6.972,11.45,-4.195,-3.264,0.745,-19.01,0.1776
8.528,11.45,-4.195,-3.264,0.745,-19.01,0.1832
10.071,11.45,-4.195,-3.264,0.745,-19.01,0.1677
10.896,11.45,-4.195,-3.264,0.745,-19.01,0.1543
11.818,11.45,-4.195,-3.264,0.745,-19.01,0.1413
-14.267,-11.13,-13.168,-16.532,11.671,0.206,-0.034
-13.879,-11.13,-13.168,-16.532,11.671,0.206,-0.0377
-12.419,-11.13,-13.168,-16.532,11.671,0.206,-0.0519
-10.415,-11.13,-13.168,-16.532,11.671,0.206,-0.072
-8.536,-11.13,-13.168,-16.532,11.671,0.206,-0.0858
-3.541,-11.13,-13.168,-16.532,11.671,0.206,-0.0484
-1.473,-11.13,-13.168,-16.532,11.671,0.206,-0.0374
-1.301,-11.13,-13.168,-16.532,11.671,0.206,-0.0368
3.365,-11.13,-13.168,-16.532,11.671,0.206,-0.0421
5.964,-11.13,-13.168,-16.532,11.671,0.206,-0.0533
6.243,-11.13,-13.168,-16.532,11.671,0.206,-0.0547
11.719,-11.13,-13.168,-16.532,11.671,0.206,-0.0516
11.758,-11.13,-13.168,-16.532,11.671,0.206,-0.0512
13.765,-11.13,-13.168,-16.532,11.671,0.206,-0.0319
-14.994,1.05,-3.508,7.015,5.92,2.724,0.0114
-13.758,1.05,-3.508,7.015,5.92,2.724,0.016
-11.252,1.05,-3.508,7.015,5.92,2.724,0.0243
-7.216,1.05,-3.508,7.015,5.92,2.724,0.0275
-6.462,1.05,-3.508,7.015,5.92,2.724,0.0286
-5.28,1.05,-3.508,7.015,5.92,2.724,0.0319
-4.88,1.05,-3.508,7.015,5.92,2.724,0.0331
0.058,1.05,-3.508,7.015,5.92,2.724,0.0369
1.094,1.05,-3.508,7.015,5.92,2.724,0.0367
3.656,1.05,-3.508,7.015,5.92,2.724,0.0402
6.932,1.05,-3.508,7.015,5.92,2.724,0.0315
7.815,1.05,-3.508,7.015,5.92,2.724,0.0306
8.124,1.05,-3.508,7.015,5.92,2.724,0.0306
8.317,1.05,-3.508,7.015,5.92,2.724,0.0307
-11.009,-8.23,12.541,7.384,8.988,14.415,-0.1447
-5.842,-8.23,12.541,7.384,8.988,14.415,-0.1468
-2.857,-8.23,12.541,7.384,8.988,14.415,-0.1121
0.018,-8.23,12.541,7.384,8.988,14.415,-0.0872
0.293,-8.23,12.541,7.384,8.988,14.415,-0.0866
1.544,-8.23,12.541,7.384,8.988,14.415,-0.0878
2.003,-8.23,12.541,7.384,8.988,14.415,-0.0898
2.716,-8.23,12.541,7.384,8.988,14.415,-0.0943
3.475,-8.23,12.541,7.384,8.988,14.415,-0.1007
4.855,-8.23,12.541,7.384,8.988,14.415,-0.1151
6.264,-8.23,12.541,7.384,8.988,14.415,-0.129
6.909,-8.23,12.541,7.384,8.988,14.415,-0.1345
9.007,-8.23,12.541,7.384,8.988,14.415,-0.157
9.809,-8.23,12.541,7.384,8.988,14.415,-0.1719
-13.592,-0.61,-13.668,-0.32,-5.7,-6.849,0.0517
-13.072,-0.61,-13.668,-0.32,-5.7,-6.849,0.0497
-12.123,-0.61,-13.668,-0.32,-5.7,-6.849,0.0471
-4.678,-0.61,-13.668,-0.32,-5.7,-6.849,0.0516
-3.839,-0.61,-13.668,-0.32,-5.7,-6.849,0.058
-3.57,-0.61,-13.668,-0.32,-5.7,-6.849,0.0616
-3.395,-0.61,-13.668,-0.32,-5.7,-6.849,0.0642
-3.312,-0.61,-13.668,-0.32,-5.7,-6.849,0.0655
-2.989,-0.61,-13.668,-0.32,-5.7,-6.849,0.0696
-1.341,-0.61,-13.668,-0.32,-5.7,-6.849,0.0479
0.289,-0.61,-13.668,-0.32,-5.7,-6.849,0.0301
2.932,-0.61,-13.668,-0.32,-5.7,-6.849,0.0546
3.099,-0.61,-13.668,-0.32,-5.7,-6.849,0.0555
10.41,-0.61,-13.668,-0.32,-5.7,-6.849,0.0354
-10.472,-14.68,-1.77,-19.988,-8.921,15.345,-0.1684
-8.607,-14.68,-1.77,-19.988,-8.921,15.345,-0.179
-5.464,-14.68,-1.77,-19.988,-8.921,15.345,-0.1954
-4.872,-14.68,-1.77,-19.988,-8.921,15.345,-0.1984
-0.476,-14.68,-1.77,-19.988,-8.921,15.345,-0.2097
0.723,-14.68,-1.77,-19.988,-8.921,15.345,-0.2095
0.745,-14.68,-1.77,-19.988,-8.921,15.345,-0.2095
1.732,-14.68,-1.77,-19.988,-8.921,15.345,-0.2083
3.048,-14.68,-1.77,-19.988,-8.921,15.345,-0.2057
6.123,-14.68,-1.77,-19.988,-8.921,15.345,-0.1848
7.409,-14.68,-1.77,-19.988,-8.921,15.345,-0.1933
8.952,-14.68,-1.77,-19.988,-8.921,15.345,-0.2118
11.067,-14.68,-1.77,-19.988,-8.921,15.345,-0.1789
11.657,-14.68,-1.77,-19.988,-8.921,15.345,-0.1736
-14.602,-13.25,-1.204,-0.307,0.154,-10.419,-0.1
-12.109,-13.25,-1.204,-0.307,0.154,-10.419,-0.1208
-11.745,-13.25,-1.204,-0.307,0.154,-10.419,-0.124
-9.802,-13.25,-1.204,-0.307,0.154,-10.419,-0.1424
-4.314,-13.25,-1.204,-0.307,0.154,-10.419,-0.1795
-3.593,-13.25,-1.204,-0.307,0.154,-10.419,-0.1768
-2.475,-13.25,-1.204,-0.307,0.154,-10.419,-0.1714
-1.319,-13.25,-1.204,-0.307,0.154,-10.419,-0.1658
1.085,-13.25,-1.204,-0.307,0.154,-10.419,-0.1579
3.403,-13.25,-1.204,-0.307,0.154,-10.419,-0.1566
5.605,-13.25,-1.204,-0.307,0.154,-10.419,-0.1603
9.779,-13.25,-1.204,-0.307,0.154,-10.419,-0.1515
9.933,-13.25,-1.204,-0.307,0.154,-10.419,-0.1504
10.736,-13.25,-1.204,-0.307,0.154,-10.419,-0.1443
-13.373,-8.36,-19.922,1.309,-9.454,-4.245,-0.0168
-13.032,-8.36,-19.922,1.309,-9.454,-4.245,-0.0184
-6.553,-8.36,-19.922,1.309,-9.454,-4.245,-0.0401
-5.704,-8.36,-19.922,1.309,-9.454,-4.245,-0.0427
-5.128,-8.36,-19.922,1.309,-9.454,-4.245,-0.0433
-1.216,-8.36,-19.922,1.309,-9.454,-4.245,-0.0437
1.582,-8.36,-19.922,1.309,-9.454,-4.245,-0.0437
2.123,-8.36,-19.922,1.309,-9.454,-4.245,-0.0434
2.19,-8.36,-19.922,1.309,-9.454,-4.245,-0.0434
4.768,-8.36,-19.922,1.309,-9.454,-4.245,-0.0375
5.51,-8.36,-19.922,1.309,-9.454,-4.245,-0.0347
8.886,-8.36,-19.922,1.309,-9.454,-4.245,-0.038
11.082,-8.36,-19.922,1.309,-9.454,-4.245,-0.0328
11.29,-8.36,-19.922,1.309,-9.454,-4.245,-0.0324
-14.753,12.71,-4.153,-14.97,-16.864,0.23,0.0997
-14.453,12.71,-4.153,-14.97,-16.864,0.23,0.1027
-13.846,12.71,-4.153,-14.97,-16.864,0.23,0.109
-13.29,12.71,-4.153,-14.97,-16.864,0.23,0.1149
-9.713,12.71,-4.153,-14.97,-16.864,0.23,0.1559
-8.1,12.71,-4.153,-14.97,-16.864,0.23,0.1762
-4.753,12.71,-4.153,-14.97,-16.864,0.23,0.2224
-4.398,12.71,-4.153,-14.97,-16.864,0.23,0.2276
2.808,12.71,-4.153,-14.97,-16.864,0.23,0.2359
3.11,12.71,-4.153,-14.97,-16.864,0.23,0.2346
3.128,12.71,-4.153,-14.97,-16.864,0.23,0.2345
6.059,12.71,-4.153,-14.97,-16.864,0.23,0.2096
10.556,12.71,-4.153,-14.97,-16.864,0.23,0.1564
11.073,12.71,-4.153,-14.97,-16.864,0.23,0.1511
-14.965,12.56,6.488,-3.849,-19.262,-5.265,0.0742
-9.556,12.56,6.488,-3.849,-19.262,-5.265,0.1352
-7.56,12.56,6.488,-3.849,-19.262,-5.265,0.1623
-6.088,12.56,6.488,-3.849,-19.262,-5.265,0.1833
-2.505,12.56,6.488,-3.849,-19.262,-5.265,0.1834
0.972,12.56,6.488,-3.849,-19.262,-5.265,0.1689
1.112,12.56,6.488,-3.849,-19.262,-5.265,0.1688
2.678,12.56,6.488,-3.849,-19.262,-5.265,0.1692
3.504,12.56,6.488,-3.849,-19.262,-5.265,0.1703
5.719,12.56,6.488,-3.849,-19.262,-5.265,0.1723
6.223,12.56,6.488,-3.849,-19.262,-5.265,0.1708
6.683,12.56,6.488,-3.849,-19.262,-5.265,0.1682
9.516,12.56,6.488,-3.849,-19.262,-5.265,0.1358
9.904,12.56,6.488,-3.849,-19.262,-5.265,0.1307
-12.789,13.3,10.541,-18.151,-13.949,9.54,0.1003
-11.809,13.3,10.541,-18.151,-13.949,9.54,0.1092
-8.134,13.3,10.541,-18.151,-13.949,9.54,0.1461
-7.963,13.3,10.541,-18.151,-13.949,9.54,0.148
-5.295,13.3,10.541,-18.151,-13.949,9.54,0.1765
-2.001,13.3,10.541,-18.151,-13.949,9.54,0.2001
-1.244,13.3,10.541,-18.151,-13.949,9.54,0.2022
-0.449,13.3,10.541,-18.151,-13.949,9.54,0.2032
1.59,13.3,10.541,-18.151,-13.949,9.54,0.2006
1.706,13.3,10.541,-18.151,-13.949,9.54,0.2002
3.106,13.3,10.541,-18.151,-13.949,9.54,0.194
8.464,13.3,10.541,-18.151,-13.949,9.54,0.1476
11.428,13.3,10.541,-18.151,-13.949,9.54,0.1173
13.299,13.3,10.541,-18.151,-13.949,9.54,0.0989
-13.318,-8.96,9.896,-14.964,0.253,-11.287,-0.0934
-10.996,-8.96,9.896,-14.964,0.253,-11.287,-0.111
-8.535,-8.96,9.896,-14.964,0.253,-11.287,-0.095
-5.394,-8.96,9.896,-14.964,0.253,-11.287,-0.0672
-4.042,-8.96,9.896,-14.964,0.253,-11.287,-0.0581
-1.114,-8.96,9.896,-14.964,0.253,-11.287,-0.0579
-0.063,-8.96,9.896,-14.964,0.253,-11.287,-0.0599
1.196,-8.96,9.896,-14.964,0.253,-11.287,-0.0612
5.038,-8.96,9.896,-14.964,0.253,-11.287,-0.0619
6.485,-8.96,9.896,-14.964,0.253,-11.287,-0.0692
8.162,-8.96,9.896,-14.964,0.253,-11.287,-0.0827
10.484,-8.96,9.896,-14.964,0.253,-11.287,-0.1019
12.153,-8.96,9.896,-14.964,0.253,-11.287,-0.1103
12.688,-8.96,9.896,-14.964,0.253,-11.287,-0.1077
-10.554,11.5,13.412,2.594,0.731,8.479,0.0855
-3.246,11.5,13.412,2.594,0.731,8.479,0.0819
1.003,11.5,13.412,2.594,0.731,8.479,0.0731
2.617,11.5,13.412,2.594,0.731,8.479,0.0741
4.39,11.5,13.412,2.594,0.731,8.479,0.0762
4.59,11.5,13.412,2.594,0.731,8.479,0.0766
5.185,11.5,13.412,2.594,0.731,8.479,0.0777
5.262,11.5,13.412,2.594,0.731,8.479,0.0778
5.57,11.5,13.412,2.594,0.731,8.479,0.0782
7.711,11.5,13.412,2.594,0.731,8.479,0.0837
7.801,11.5,13.412,2.594,0.731,8.479,0.0839
8.214,11.5,13.412,2.594,0.731,8.479,0.085
10.523,11.5,13.412,2.594,0.731,8.479,0.0854
11.893,11.5,13.412,2.594,0.731,8.479,0.0762
-13.985,1.28,-0.381,-5.508,-16.949,-1.304,0.0005
-11.839,1.28,-0.381,-5.508,-16.949,-1.304,-0.0097
-11.343,1.28,-0.381,-5.508,-16.949,-1.304,-0.0189
-6.609,1.28,-0.381,-5.508,-16.949,-1.304,-0.0699
-6.226,1.28,-0.381,-5.508,-16.949,-1.304,-0.063
-3.932,1.28,-0.381,-5.508,-16.949,-1.304,-0.0494
-3.442,1.28,-0.381,-5.508,-16.949,-1.304,-0.048
-3.376,1.28,-0.381,-5.508,-16.949,-1.304,-0.0479
6.421,1.28,-0.381,-5.508,-16.949,-1.304,-0.0564
7.731,1.28,-0.381,-5.508,-16.949,-1.304,-0.0646
8.591,1.28,-0.381,-5.508,-16.949,-1.304,-0.0627
9.442,1.28,-0.381,-5.508,-16.949,-1.304,-0.0533
10.952,1.28,-0.381,-5.508,-16.949,-1.304,-0.034
11.843,1.28,-0.381,-5.508,-16.949,-1.304,-0.0229
-7.07,6.72,-7.342,4.907,10.227,-9.02,0.1141
-4.962,6.72,-7.342,4.907,10.227,-9.02,0.1158
-2.285,6.72,-7.342,4.907,10.227,-9.02,0.1182
-1.93,6.72,-7.342,4.907,10.227,-9.02,0.1184
-0.844,6.72,-7.342,4.907,10.227,-9.02,0.1187
-0.076,6.72,-7.342,4.907,10.227,-9.02,0.1187
1.421,6.72,-7.342,4.907,10.227,-9.02,0.1181
4.32,6.72,-7.342,4.907,10.227,-9.02,0.1148
5.27,6.72,-7.342,4.907,10.227,-9.02,0.1135
5.719,6.72,-7.342,4.907,10.227,-9.02,0.1127
7.662,6.72,-7.342,4.907,10.227,-9.02,0.1078
9.414,6.72,-7.342,4.907,10.227,-9.02,0.1002
10.878,6.72,-7.342,4.907,10.227,-9.02,0.0902
13.496,6.72,-7.342,4.907,10.227,-9.02,0.0779
-13.936,12.42,16.721,11.682,6.939,-18.368,0.1049
-7.583,12.42,16.721,11.682,6.939,-18.368,0.1619
-2.684,12.42,16.721,11.682,6.939,-18.368,0.152
-2.367,12.42,16.721,11.682,6.939,-18.368,0.151
0.023,12.42,16.721,11.682,6.939,-18.368,0.1427
2.13,12.42,16.721,11.682,6.939,-18.368,0.1355
5.43,12.42,16.721,11.682,6.939,-18.368,0.1259
6.834,12.42,16.721,11.682,6.939,-18.368,0.1213
6.846,12.42,16.721,11.682,6.939,-18.368,0.1213
7.007,12.42,16.721,11.682,6.939,-18.368,0.1206
9.049,12.42,16.721,11.682,6.939,-18.368,0.0939
9.566,12.42,16.721,11.682,6.939,-18.368,0.0751
9.909,12.42,16.721,11.682,6.939,-18.368,0.0957
11.591,12.42,16.721,11.682,6.939,-18.368,0.1203
-14.285,-13.81,-18.345,13.866,9.681,-4.889,-0.1065
-13.827,-13.81,-18.345,13.866,9.681,-4.889,-0.1109
-11.588,-13.81,-18.345,13.866,9.681,-4.889,-0.1328
-11.401,-13.81,-18.345,13.866,9.681,-4.889,-0.1347
-1.17,-13.81,-18.345,13.866,9.681,-4.889,-0.2215
-1.166,-13.81,-18.345,13.866,9.681,-4.889,-0.2215
-0.123,-13.81,-18.345,13.866,9.681,-4.889,-0.2188
0.821,-13.81,-18.345,13.866,9.681,-4.889,-0.2161
0.902,-13.81,-18.345,13.866,9.681,-4.889,-0.2158
1.71,-13.81,-18.345,13.866,9.681,-4.889,-0.2133
2.267,-13.81,-18.345,13.866,9.681,-4.889,-0.2114
2.334,-13.81,-18.345,13.866,9.681,-4.889,-0.2112
4.459,-13.81,-18.345,13.866,9.681,-4.889,-0.2011
6.861,-13.81,-18.345,13.866,9.681,-4.889,-0.1831
-14.221,-14.42,-18.277,17.088,-19.05,-0.193,-0.1711
-12.692,-14.42,-18.277,17.088,-19.05,-0.193,-0.1814
-8.112,-14.42,-18.277,17.088,-19.05,-0.193,-0.2071
-5.697,-14.42,-18.277,17.088,-19.05,-0.193,-0.2157
-5.254,-14.42,-18.277,17.088,-19.05,-0.193,-0.2168
-2.912,-14.42,-18.277,17.088,-19.05,-0.193,-0.2196
1.499,-14.42,-18.277,17.088,-19.05,-0.193,-0.2176
5.276,-14.42,-18.277,17.088,-19.05,-0.193,-0.2053
6.198,-14.42,-18.277,17.088,-19.05,-0.193,-0.2015
6.312,-14.42,-18.277,17.088,-19.05,-0.193,-0.201
7.375,-14.42,-18.277,17.088,-19.05,-0.193,-0.1958
9.979,-14.42,-18.277,17.088,-19.05,-0.193,-0.1808
11.163,-14.42,-18.277,17.088,-19.05,-0.193,-0.1736
12.967,-14.42,-18.277,17.088,-19.05,-0.193,-0.1622
-13.512,-12.3,15.814,-4.315,4.223,-19.302,-0.1493
-12.634,-12.3,15.814,-4.315,4.223,-19.302,-0.1575
-11.4,-12.3,15.814,-4.315,4.223,-19.302,-0.1698
-2.998,-12.3,15.814,-4.315,4.223,-19.302,-0.1939
-2.965,-12.3,15.814,-4.315,4.223,-19.302,-0.1937
-2.838,-12.3,15.814,-4.315,4.223,-19.302,-0.193
3.88,-12.3,15.814,-4.315,4.223,-19.302,-0.1974
4.313,-12.3,15.814,-4.315,4.223,-19.302,-0.2003
4.366,-12.3,15.814,-4.315,4.223,-19.302,-0.2008
10.478,-12.3,15.814,-4.315,4.223,-19.302,-0.1965
10.77,-12.3,15.814,-4.315,4.223,-19.302,-0.1935
12.054,-12.3,15.814,-4.315,4.223,-19.302,-0.181
12.126,-12.3,15.814,-4.315,4.223,-19.302,-0.1804
13.184,-12.3,15.814,-4.315,4.223,-19.302,-0.1708
-11.766,-7.88,1.195,-6.7,-3.416,9.103,-0.061
-11.186,-7.88,1.195,-6.7,-3.416,9.103,-0.063
-10.103,-7.88,1.195,-6.7,-3.416,9.103,-0.0653
-8.118,-7.88,1.195,-6.7,-3.416,9.103,-0.0677
-7.66,-7.88,1.195,-6.7,-3.416,9.103,-0.0666
-7.602,-7.88,1.195,-6.7,-3.416,9.103,-0.0664
-7.208,-7.88,1.195,-6.7,-3.416,9.103,-0.0651
-5.327,-7.88,1.195,-6.7,-3.416,9.103,-0.0563
-3.158,-7.88,1.195,-6.7,-3.416,9.103,-0.0573
1.566,-7.88,1.195,-6.7,-3.416,9.103,-0.0671
2.34,-7.88,1.195,-6.7,-3.416,9.103,-0.0663
4.773,-7.88,1.195,-6.7,-3.416,9.103,-0.0594
5.081,-7.88,1.195,-6.7,-3.416,9.103,-0.058
6.542,-7.88,1.195,-6.7,-3.416,9.103,-0.0538
-11.967,1.03,1.818,-6.028,13.546,15.341,0.0181
-7.863,1.03,1.818,-6.028,13.546,15.341,0.0641
-6.651,1.03,1.818,-6.028,13.546,15.341,0.0489
-4.327,1.03,1.818,-6.028,13.546,15.341,0.0368
-4.027,1.03,1.818,-6.028,13.546,15.341,0.037
-3.755,1.03,1.818,-6.028,13.546,15.341,0.0377
-3.349,1.03,1.818,-6.028,13.546,15.341,0.0372
-0.697,1.03,1.818,-6.028,13.546,15.341,0.0283
0.009,1.03,1.818,-6.028,13.546,15.341,0.0312
0.92,1.03,1.818,-6.028,13.546,15.341,0.0332
3.937,1.03,1.818,-6.028,13.546,15.341,0.0372
9.951,1.03,1.818,-6.028,13.546,15.341,0.0307
10.919,1.03,1.818,-6.028,13.546,15.341,0.0218
11.456,1.03,1.818,-6.028,13.546,15.341,0.0175
-14.298,-12.97,-0.352,6.238,17.83,-11.621,-0.0923
-13.508,-12.97,-0.352,6.238,17.83,-11.621,-0.1002
-9.859,-12.97,-0.352,6.238,17.83,-11.621,-0.141
-8.135,-12.97,-0.352,6.238,17.83,-11.621,-0.1621
-6.792,-12.97,-0.352,6.238,17.83,-11.621,-0.1762
-4.562,-12.97,-0.352,6.238,17.83,-11.621,-0.1796
3.175,-12.97,-0.352,6.238,17.83,-11.621,-0.1538
3.42,-12.97,-0.352,6.238,17.83,-11.621,-0.1544
5.383,-12.97,-0.352,6.238,17.83,-11.621,-0.1613
9.306,-12.97,-0.352,6.238,17.83,-11.621,-0.1549
11.446,-12.97,-0.352,6.238,17.83,-11.621,-0.1348
11.609,-12.97,-0.352,6.238,17.83,-11.621,-0.1333
12.575,-12.97,-0.352,6.238,17.83,-11.621,-0.1243
12.998,-12.97,-0.352,6.238,17.83,-11.621,-0.1204
-14.883,-1.36,10.599,-1.904,19.84,-9.062,-0.0187
-10.911,-1.36,10.599,-1.904,19.84,-9.062,0.0098
-8.993,-1.36,10.599,-1.904,19.84,-9.062,0.046
-2.132,-1.36,10.599,-1.904,19.84,-9.062,-0.0291
-1.992,-1.36,10.599,-1.904,19.84,-9.062,-0.0286
1.755,-1.36,10.599,-1.904,19.84,-9.062,-0.0138
7.559,-1.36,10.599,-1.904,19.84,-9.062,0.0285
7.703,-1.36,10.599,-1.904,19.84,-9.062,0.0298
9.344,-1.36,10.599,-1.904,19.84,-9.062,0.0277
10.195,-1.36,10.599,-1.904,19.84,-9.062,0.0167
11.632,-1.36,10.599,-1.904,19.84,-9.062,-0.0049
12.692,-1.36,10.599,-1.904,19.84,-9.062,-0.0264
13.254,-1.36,10.599,-1.904,19.84,-9.062,-0.0381
13.618,-1.36,10.599,-1.904,19.84,-9.062,-0.0409
-14.699,-3.39,4.109,5.968,19.66,-15.226,-0.0035
-12.573,-3.39,4.109,5.968,19.66,-15.226,-0.003
-11.694,-3.39,4.109,5.968,19.66,-15.226,0.0135
-11.009,-3.39,4.109,5.968,19.66,-15.226,0.0232
-9.901,-3.39,4.109,5.968,19.66,-15.226,0.0407
-4.406,-3.39,4.109,5.968,19.66,-15.226,0.0261
-1.114,-3.39,4.109,5.968,19.66,-15.226,0.0054
1.941,-3.39,4.109,5.968,19.66,-15.226,0.0084
3.032,-3.39,4.109,5.968,19.66,-15.226,0.0157
4.408,-3.39,4.109,5.968,19.66,-15.226,0.0207
6.56,-3.39,4.109,5.968,19.66,-15.226,0.0308
6.694,-3.39,4.109,5.968,19.66,-15.226,0.0318
6.914,-3.39,4.109,5.968,19.66,-15.226,0.0335
7.842,-3.39,4.109,5.968,19.66,-15.226,0.0386
-14.359,4.13,-3.305,-17.641,18.893,-4.578,0.0297
-13.195,4.13,-3.305,-17.641,18.893,-4.578,0.0244
-12.289,4.13,-3.305,-17.641,18.893,-4.578,0.044
-10.956,4.13,-3.305,-17.641,18.893,-4.578,0.0739
-4.952,4.13,-3.305,-17.641,18.893,-4.578,0.1213
-0.801,4.13,-3.305,-17.641,18.893,-4.578,0.1093
-0.588,4.13,-3.305,-17.641,18.893,-4.578,0.109
0.701,4.13,-3.305,-17.641,18.893,-4.578,0.1084
1.982,4.13,-3.305,-17.641,18.893,-4.578,0.1097
4.503,4.13,-3.305,-17.641,18.893,-4.578,0.1161
9.193,4.13,-3.305,-17.641,18.893,-4.578,0.1115
9.967,4.13,-3.305,-17.641,18.893,-4.578,0.0996
11.284,4.13,-3.305,-17.641,18.893,-4.578,0.0825
12.416,4.13,-3.305,-17.641,18.893,-4.578,0.0692
-14.274,4.12,4.432,11.067,15.475,7.179,-0.0054
-11.857,4.12,4.432,11.067,15.475,7.179,-0.0006
-10.183,4.12,4.432,11.067,15.475,7.179,0.0152
-9.615,4.12,4.432,11.067,15.475,7.179,0.0201
-6.998,4.12,4.432,11.067,15.475,7.179,0.054
-4.236,4.12,4.432,11.067,15.475,7.179,0.0402
-2.655,4.12,4.432,11.067,15.475,7.179,0.0408
-0.94,4.12,4.432,11.067,15.475,7.179,0.0413
0.776,4.12,4.432,11.067,15.475,7.179,0.0418
2.104,4.12,4.432,11.067,15.475,7.179,0.0427
5.156,4.12,4.432,11.067,15.475,7.179,0.046
8.893,4.12,4.432,11.067,15.475,7.179,0.0373
12.933,4.12,4.432,11.067,15.475,7.179,0.0107
13.344,4.12,4.432,11.067,15.475,7.179,0.0084
-14.948,-5.47,-13.94,12.044,15.783,6.762,0.0393
-13.66,-5.47,-13.94,12.044,15.783,6.762,0.018
-13.381,-5.47,-13.94,12.044,15.783,6.762,0.0118
-13.062,-5.47,-13.94,12.044,15.783,6.762,0.0037
-8.769,-5.47,-13.94,12.044,15.783,6.762,0.0336
-7.694,-5.47,-13.94,12.044,15.783,6.762,0.0549
-4.621,-5.47,-13.94,12.044,15.783,6.762,0.0859
1.923,-5.47,-13.94,12.044,15.783,6.762,0.0741
2.819,-5.47,-13.94,12.044,15.783,6.762,0.0731
4.107,-5.47,-13.94,12.044,15.783,6.762,0.074
4.719,-5.47,-13.94,12.044,15.783,6.762,0.0756
9.004,-5.47,-13.94,12.044,15.783,6.762,0.052
9.024,-5.47,-13.94,12.044,15.783,6.762,0.0517
10.358,-5.47,-13.94,12.044,15.783,6.762,0.0384
-14.839,-11.0,-10.664,-13.606,14.859,19.798,-0.0331
-10.969,-11.0,-10.664,-13.606,14.859,19.798,-0.073
-5.268,-11.0,-10.664,-13.606,14.859,19.798,-0.116
-4.93,-11.0,-10.664,-13.606,14.859,19.798,-0.1148
-2.203,-11.0,-10.664,-13.606,14.859,19.798,-0.1035
-0.529,-11.0,-10.664,-13.606,14.859,19.798,-0.0989
-0.249,-11.0,-10.664,-13.606,14.859,19.798,-0.0985
