,CASE,RAD?,TRIM?,MACH,RE,ALT,Q,BETA,PHI,SREF,XCG,XMRP,LREF,LATREF,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,DEFL_2_1,DEFL_2_2,DEFL_2_3,DEFL_2_4,ALPHA,CN,CM,CA,CA_0B,CA_FB,CY,CLN,CLL,CL,CD,CL/CD,X-C.P.,CNA,CMA,CNQ,CMQ,CAQ,CNAD,CMAD,CYQ,CLNQ,CLLQ
23,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,4.902,0.5136,-0.0277,0.1923,0.158,0.1923,0.3388,-0.0593,-0.0069,0.4953,0.2355,2.1031,-0.054,0.1341,-0.0109,0.0522,-0.0239,0.001,0.0289,-0.0014,0.0271,-0.0152,0.0003
24,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,6.409,0.7345,-0.0492,0.1878,0.1535,0.1878,0.2973,-0.0448,-0.0073,0.709,0.2687,2.6389,-0.067,0.1452,-0.0133,0.0607,-0.027,0.0009,0.0289,-0.0014,0.0209,-0.0119,0.0
25,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,7.044,0.8258,-0.0571,0.1854,0.1511,0.1854,0.2757,-0.0374,-0.008,0.7969,0.2853,2.7931,-0.0692,0.1458,-0.0127,0.0644,-0.0282,0.0009,0.0289,-0.0014,0.0185,-0.0107,0.0
26,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,10.638,1.3569,-0.1041,0.1671,0.133,0.1671,0.2788,-0.0411,-0.004,1.3027,0.4148,3.1409,-0.0768,0.1519,-0.0141,0.086,-0.0338,0.001,0.0289,-0.0014,0.0153,-0.0078,0.0
27,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,13.398,1.7877,-0.1458,0.1451,0.1112,0.1451,0.3396,-0.0645,0.0018,1.7054,0.5554,3.0706,-0.0815,0.1586,-0.0165,0.1057,-0.0371,0.001,0.0289,-0.0014,0.0145,-0.0069,0.0002
28,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-14.015,-1.9443,0.136,0.1439,0.11,0.1439,0.0219,0.0149,-0.0025,-1.8516,0.6104,-3.0332,-0.07,0.1614,-0.0192,-0.089,0.0337,0.0006,0.0305,-0.0014,0.0011,-0.0039,-0.0003
29,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-12.125,-1.6445,0.1025,0.1596,0.1256,0.1596,0.0689,0.0041,-0.0005,-1.5743,0.5015,-3.1392,-0.0623,0.1559,-0.0163,-0.0736,0.0322,0.0004,0.0305,-0.0014,-0.0005,-0.0037,-0.0004
30,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-10.768,-1.4368,0.0823,0.1687,0.1346,0.1687,0.1237,-0.0109,0.002,-1.3799,0.4342,-3.1784,-0.0573,0.1513,-0.0143,-0.0642,0.0306,0.0003,0.0305,-0.0014,0.0039,-0.0054,-0.0002
31,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-8.771,-1.138,0.0548,0.1788,0.1445,0.1788,0.2358,-0.0436,0.0078,-1.0974,0.3502,-3.1338,-0.0482,0.1485,-0.0133,-0.051,0.0283,0.0002,0.0305,-0.0014,0.0112,-0.0083,0.0002
32,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-7.487,-0.9488,0.0383,0.1833,0.149,0.1833,0.2692,-0.0533,0.0098,-0.9169,0.3054,-3.0026,-0.0403,0.1457,-0.0121,-0.0427,0.0267,0.0002,0.0305,-0.0014,0.0207,-0.0119,0.0007
33,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-6.581,-0.8183,0.028,0.1859,0.1516,0.1859,0.2241,-0.0401,0.0078,-0.7916,0.2785,-2.8428,-0.0342,0.1428,-0.0109,-0.0372,0.0254,0.0002,0.0305,-0.0014,0.0186,-0.0118,0.0006
34,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-6.537,-0.8121,0.0275,0.186,0.1517,0.186,0.2223,-0.0395,0.0077,-0.7856,0.2772,-2.8336,-0.0339,0.141,-0.0104,-0.0369,0.0254,0.0002,0.0305,-0.0014,0.0185,-0.0118,0.0006
35,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-6.319,-0.7814,0.0253,0.1865,0.1522,0.1865,0.2138,-0.0371,0.0074,-0.7562,0.2714,-2.786,-0.0324,0.1327,-0.0087,-0.0356,0.025,0.0002,0.0305,-0.0014,0.018,-0.0118,0.0006
36,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-1.936,-0.2342,-0.006,0.1906,0.1562,0.1906,0.134,-0.0166,0.0036,-0.2276,0.1984,-1.1472,0.0255,0.1191,-0.0066,-0.0074,0.012,0.0008,0.0305,-0.0014,0.0271,-0.0206,0.0006
37,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,-1.933,-0.2338,-0.006,0.1906,0.1562,0.1906,0.1339,-0.0166,0.0036,-0.2273,0.1984,-1.1456,0.0256,0.1114,-0.006,-0.0074,0.012,0.0008,0.0305,-0.0014,0.0271,-0.0206,0.0006
38,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,5.286,0.5558,-0.0495,0.1804,0.1461,0.1804,0.1802,-0.0279,0.0052,0.5369,0.2308,2.3256,-0.089,0.1252,-0.0087,0.0566,-0.0262,0.0013,0.0305,-0.0014,0.017,-0.0124,0.0005
39,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,6.288,0.6973,-0.0609,0.1768,0.1425,0.1768,0.1985,-0.0325,0.0055,0.6737,0.2522,2.6718,-0.0873,0.1448,-0.0116,0.0618,-0.0284,0.0012,0.0305,-0.0014,0.0169,-0.0115,0.0005
40,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,10.475,1.3185,-0.1104,0.1527,0.1186,0.1527,0.156,-0.0209,0.0013,1.2688,0.3899,3.2544,-0.0837,0.1514,-0.0125,0.0856,-0.035,0.0011,0.0305,-0.0014,0.0056,-0.0059,-0.0002
41,1,0,0,0.3,7000000.0,0.0,6383.4858,-2.73,0.0,0.034,1.64,0.6212,2.64,2.64,-6.255,-2.897,-14.703,1.506,0.0,0.0,0.0,0.0,11.189,1.4288,-0.1197,0.1469,0.1128,0.1469,0.1356,-0.0156,0.0001,1.3731,0.4214,3.2585,-0.0838,0.1547,-0.0132,0.0901,-0.0359,0.0011,0.0305,-0.0014,0.0046,-0.0054,-0.0002
42,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-14.35,-1.8657,0.1987,0.1377,0.1038,0.1377,0.0032,0.012,-0.0015,-1.7733,0.5958,-2.9766,-0.1065,0.1571,-0.0197,-0.096,0.0349,0.0021,0.0273,-0.0014,-0.0068,0.0035,-0.0006
43,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-12.337,-1.5586,0.1608,0.1605,0.1265,0.1605,-0.0956,0.0412,-0.0077,-1.4883,0.4898,-3.0385,-0.1032,0.1479,-0.018,-0.0844,0.0317,0.002,0.0273,-0.0014,-0.0201,0.0077,-0.0016
44,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-11.654,-1.4607,0.1491,0.1672,0.1331,0.1672,-0.1213,0.0488,-0.0095,-1.3968,0.4589,-3.0442,-0.1021,0.1422,-0.0171,-0.0805,0.0307,0.0019,0.0273,-0.0014,-0.0003,0.0016,-0.0006
45,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-10.186,-1.2537,0.1239,0.18,0.1458,0.18,-0.0875,0.0378,-0.0084,-1.2021,0.3989,-3.0137,-0.0988,0.14,-0.0169,-0.0761,0.03,0.0019,0.0273,-0.0014,0.0036,0.0004,-0.0008
46,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-6.93,-0.8009,0.0699,0.2011,0.1667,0.2011,-0.0678,0.0312,-0.0064,-0.7707,0.2962,-2.6019,-0.0872,0.1343,-0.0136,-0.0492,0.0268,0.0013,0.0273,-0.0014,-0.0031,0.0028,-0.0005
47,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-4.059,-0.4292,0.0392,0.2114,0.177,0.2114,0.0053,0.0089,-0.0021,-0.4131,0.2412,-1.7126,-0.0913,0.1232,-0.0088,-0.0335,0.0245,0.0012,0.0273,-0.0014,-0.0006,0.0029,-0.0004
48,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-2.114,-0.2017,0.0256,0.2152,0.1809,0.2152,0.0951,-0.0184,-0.0018,-0.1936,0.2225,-0.8702,-0.1267,0.1128,-0.0061,-0.0243,0.0218,0.0009,0.0273,-0.0014,-0.0021,0.0052,-0.0009
49,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-1.953,-0.1842,0.0247,0.2154,0.1811,0.2154,0.0925,-0.0176,-0.0019,-0.1767,0.2216,-0.7977,-0.1342,0.1073,-0.0049,-0.0236,0.0214,0.0009,0.0273,-0.0014,-0.0037,0.006,-0.0008
50,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,-1.597,-0.1465,0.0231,0.2158,0.1815,0.2158,0.074,-0.0119,-0.0014,-0.1404,0.2198,-0.6388,-0.1575,0.1035,-0.0043,-0.0218,0.0206,0.0009,0.0273,-0.0014,-0.0081,0.0082,-0.0006
51,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,1.81,0.1977,0.0094,0.2171,0.1828,0.2171,0.0662,-0.01,-0.0011,0.1908,0.2233,0.8544,0.0478,0.109,-0.0065,0.0389,-0.0223,0.0003,0.0273,-0.0014,-0.0014,0.0058,-0.0007
52,1,0,0,0.3,7000000.0,0.0,6383.4858,0.63,0.0,0.034,1.64,0.6212,2.64,2.64,3.286,-10.896,7.617,-14.52,0.0,0.0,0.0,0.0,4.651,0.53,-0.0162,0.2137,0.1793,0.2137,0.0121,0.0055,-0.0021,0.511,0.256,1.9962,-0.0305,0.1212,-0.0118,0.0574,-0.0258,0.0007,0.0273,-0.0014,-0.0047,0.004,-0.0005
